0 1.77372e-12
1 1.69016e-12
2 7.06194e-06
3 6.98757e-06
4 9.41877e-06
5 0.000176913
6 1.32505e-05
7 6.6935e-06
8 4.16387e-06
9 8.99026e-05
10 1.84337e-05
11 0.000184476
12 0.00011816
13 0.00020585
14 5.9005e-05
15 0.00022921
16 7.34603e-06
17 0.000245672
18 1.36135e-05
19 0.000230687
20 0.000105204
21 0.000256981
22 0.000245355
23 0.000294534
24 5.04204e-06
25 0.000277457
26 0.000252196
27 2.51942e-05
28 6.39876e-05
29 8.75236e-06
30 2.93178e-05
31 1.74429e-05
32 7.74446e-06
33 0.00012605
34 4.13376e-05
35 2.48059e-05
36 1.89676e-05
37 0.000342188
38 6.81083e-05
39 2.90389e-05
40 3.33591e-05
41 0.000289237
42 6.04077e-06
43 4.98318e-06
44 0.000360941
45 0.000227386
46 0.000311419
47 1.93227e-06
48 5.94203e-05
49 1.78997e-05
50 0.000396485
51 1.10565e-05
52 8.48801e-06
53 4.20206e-05
54 0.000397655
55 1.78851e-05
56 2.35915e-05
57 0.000540311
58 0.000166048
59 0.000576797
60 0.000435817
61 4.86042e-06
62 1.26782e-05
63 1.12815e-05
64 0.000347774
65 0.000207536
66 6.98217e-05
67 0.000575997
68 6.61717e-05
69 4.02022e-06
70 5.7101e-05
71 0.00074138
72 0.000634058
73 9.9882e-05
74 0.000723381
75 0.000962011
76 2.83398e-05
77 0.000921962
78 0.00100235
79 0.00055979
80 3.14494e-05
81 0.000341286
82 0.0011921
83 7.01605e-05
84 3.58701e-06
85 0.00135291
86 0.000194606
87 9.44451e-05
88 0.00034272
89 2.93217e-05
90 4.33601e-05
91 0.000369166
92 7.57817e-05
93 0.00027631
94 0.00135479
95 0.00284331
96 0.00372988
97 0.00016273
98 0.00531455
99 0.000409158
